product_id,product_name,category,subcategory,gender_target,season,brand,list_price,avg_discount_rate,margin_rate,launch_date,is_bestseller,return_rate
PROD-0000001,Aurora Bottoms Trousers 0001,bottoms,trousers,female,fall,Aurora,110.94,0.177,0.44,2021-12-10,0,0.136
PROD-0000002,Aurora Bottoms Trousers 0002,bottoms,trousers,female,fall,Aurora,120.08,0.099,0.405,2022-11-06,0,0.079
PROD-0000003,Essence Dresses Party 0003,dresses,party,female,summer,Essence,185.47,0.176,0.442,2020-06-15,0,0.105
PROD-0000004,Nord Menswear Shoes 0004,menswear,shoes,male,fall,Nord,87.26,0.196,0.423,2020-11-12,1,0.056
PROD-0000005,Essence Accessories Bags 0005,accessories,bags,female,all_year,Essence,91.88,0.195,0.242,2020-05-24,0,0.116
PROD-0000006,Aurora Shoes Heels 0006,shoes,heels,female,winter,Aurora,273.1,0.058,0.298,2022-06-10,1,0.078
PROD-0000007,Aurora Premium Menswear Accessories 0007,menswear,accessories,male,fall,Aurora Premium,208.28,0.075,0.466,2021-12-23,0,0.087
PROD-0000008,Aurora Menswear Trousers 0008,menswear,trousers,male,winter,Aurora,144.76,0.135,0.292,2021-05-27,0,0.185
PROD-0000009,Aurora Bottoms Jeans 0009,bottoms,jeans,female,summer,Aurora,286.42,0.184,0.206,2020-12-28,1,0.087
PROD-0000010,Essence Activewear Leggings 0010,activewear,leggings,female,summer,Essence,187.12,0.195,0.418,2022-01-07,0,0.097
PROD-0000011,Aurora Studio Shoes Sneakers 0011,shoes,sneakers,female,summer,Aurora Studio,372.37,0.224,0.497,2021-04-22,0,0.114
PROD-0000012,Aurora Dresses Casual 0012,dresses,casual,female,fall,Aurora,232.56,0.117,0.36,2021-10-31,0,0.133
PROD-0000013,Nord Outerwear Blazer 0013,outerwear,blazer,female,summer,Nord,184.54,0.293,0.317,2022-01-15,1,0.045
PROD-0000014,Nord Activewear Leggings 0014,activewear,leggings,female,all_year,Nord,145.05,0.141,0.386,2022-08-11,0,0.104
PROD-0000015,Aurora Premium Shoes Flats 0015,shoes,flats,female,fall,Aurora Premium,380.89,0.096,0.474,2021-09-26,1,0.033
